Combined,AJDEM,ADJOE,ADJDE,,D1,AJDEM,ADJOE,ADJDE,,D2,AJDEM,ADJOE,ADJDE,,D3,AJDEM,ADJOE,ADJDE
Walsh,-0.4385,0.9107,1.3492,,,,,,,,,,,,,,,
St. Mary's (MD),-0.44,0.933,1.373,,,,,,,,,,,,,,,
Pitt.-Greensburg,-0.4411,1.0143,1.4554,,,,,,,,,,,,,,,
Rutgers-Camden,-0.4414,0.8619,1.3033,,,,,,,,,,,,,,,
Belhaven,-0.4424,0.8933,1.3357,,,,,,,,,,,,,,,
Rockford,-0.4461,1.1011,1.5472,,,,,,,,,,,,,,,
SUNY Canton,-0.447,0.9156,1.3626,,,,,,,,,,,,,,,
Lehigh,-0.4477,0.8486,1.2963,,,,,,,,,,,,,,,
Hendrix,-0.4487,0.902,1.3507,,,,,,,,,,,,,,,
Monmouth (IL),-0.4491,0.8756,1.3247,,,,,,,,,,,,,,,
SUNY Poly,-0.4515,0.8809,1.3324,,,,,,,,,,,,,,,
Elmira,-0.4542,0.8548,1.309,,,,,,,,,,,,,,,
MCLA,-0.4557,0.8179,1.2736,,,,,,,,,,,,,,,
McDaniel,-0.4565,0.8687,1.3252,,,,,,,,,,,,,,,
N.M. Highlands,-0.4567,0.8415,1.2982,,,,,,,,,,,,,,,
St. Norbert,-0.4569,0.9671,1.424,,,,,,,,,,,,,,,
SUNY Potsdam,-0.4581,0.8927,1.3508,,,,,,,,,,,,,,,
Hartford,-0.4636,0.8119,1.2755,,,,,,,,,,,,,,,
Penn St.-Altoona,-0.4702,0.8536,1.3238,,,,,,,,,,,,,,,
Wilson,-0.4706,1.0185,1.4891,,,,,,,,,,,,,,,
Elms,-0.4713,0.8838,1.3551,,,,,,,,,,,,,,,
LaGrange,-0.4734,0.6697,1.1431,,,,,,,,,,,,,,,
Ramapo,-0.4751,1.0036,1.4787,,,,,,,,,,,,,,,
William Peace,-0.4776,0.6856,1.1632,,,,,,,,,,,,,,,
Dickinson,-0.4803,0.751,1.2313,,,,,,,,,,,,,,,
Sul Ross St.,-0.4825,0.7459,1.2284,,,,,,,,,,,,,,,
Eureka,-0.4833,0.749,1.2323,,,,,,,,,,,,,,,
Whittier,-0.484,0.8051,1.2891,,,,,,,,,,,,,,,
Northland,-0.4858,0.6508,1.1366,,,,,,,,,,,,,,,
Mississippi Val.,-0.4873,0.7143,1.2016,,,,,,,,,,,,,,,
SUNY Maritime,-0.491,0.8969,1.3879,,,,,,,,,,,,,,,
Willamette,-0.4962,0.8542,1.3504,,,,,,,,,,,,,,,
Millsaps,-0.4982,0.7794,1.2776,,,,,,,,,,,,,,,
Westminster (MO),-0.499,0.7127,1.2117,,,,,,,,,,,,,,,
Mississippi Col.,-0.4997,0.8322,1.3319,,,,,,,,,,,,,,,
P.R.-Rio Piedras,-0.5029,0.7824,1.2853,,,,,,,,,,,,,,,
Brevard,-0.5062,0.8601,1.3663,,,,,,,,,,,,,,,
Blackburn,-0.5066,0.887,1.3936,,,,,,,,,,,,,,,
Texas Lutheran,-0.5077,0.7479,1.2556,,,,,,,,,,,,,,,
Linfield,-0.5117,0.826,1.3377,,,,,,,,,,,,,,,
Immaculata,-0.5123,0.834,1.3463,,,,,,,,,,,,,,,
Bethany (WV),-0.5174,0.9488,1.4662,,,,,,,,,,,,,,,
Mercy,-0.5177,0.9159,1.4336,,,,,,,,,,,,,,,
Maranatha Baptist,-0.5188,0.9436,1.4624,,,,,,,,,,,,,,,
Shorter,-0.5202,0.9637,1.4839,,,,,,,,,,,,,,,
Mount Aloysius,-0.5224,0.803,1.3254,,,,,,,,,,,,,,,
Lancaster Bible,-0.5245,0.5991,1.1236,,,,,,,,,,,,,,,
Baldwin Wallace,-0.5258,0.8987,1.4245,,,,,,,,,,,,,,,
Springfield,-0.5262,0.6553,1.1815,,,,,,,,,,,,,,,
Rosemont,-0.5266,0.6594,1.186,,,,,,,,,,,,,,,
Lynchburg,-0.5268,0.6644,1.1912,,,,,,,,,,,,,,,
East. Mennonite,-0.5305,0.9531,1.4836,,,,,,,,,,,,,,,
York (NY),-0.5318,0.6751,1.2069,,,,,,,,,,,,,,,
Erskine,-0.5379,0.777,1.3149,,,,,,,,,,,,,,,
Pfeiffer,-0.5382,0.7186,1.2568,,,,,,,,,,,,,,,
SUNY Oneonta,-0.5388,0.7428,1.2816,,,,,,,,,,,,,,,
Cal St. Monterey Bay,-0.5478,0.9453,1.4931,,,,,,,,,,,,,,,
Western Ore.,-0.5486,0.7945,1.3431,,,,,,,,,,,,,,,
Pomona-Pitzer,-0.5533,0.8021,1.3554,,,,,,,,,,,,,,,
Carlow,-0.558,0.8212,1.3792,,,,,,,,,,,,,,,
Belmont Abbey,-0.5611,0.8016,1.3627,,,,,,,,,,,,,,,
Kentucky St.,-0.5628,0.836,1.3988,,,,,,,,,,,,,,,
P.R.-Bayamon,-0.5643,0.8182,1.3825,,,,,,,,,,,,,,,
John Jay,-0.5687,0.7178,1.2865,,,,,,,,,,,,,,,
Marywood,-0.5709,0.9167,1.4876,,,,,,,,,,,,,,,
Western Colo.,-0.5709,0.8825,1.4534,,,,,,,,,,,,,,,
Westfield St.,-0.5718,0.8634,1.4352,,,,,,,,,,,,,,,
George Fox,-0.5814,0.8638,1.4452,,,,,,,,,,,,,,,
Jessup,-0.5862,0.9251,1.5113,,,,,,,,,,,,,,,
Southwestern (TX),-0.5883,0.7088,1.2971,,,,,,,,,,,,,,,
Purchase,-0.5985,0.807,1.4055,,,,,,,,,,,,,,,
Georgian Court,-0.5991,0.7411,1.3402,,,,,,,,,,,,,,,
Minn.-Morris,-0.5996,0.8622,1.4618,,,,,,,,,,,,,,,
Saint Elizabeth,-0.6012,0.8007,1.4019,,,,,,,,,,,,,,,
Western New Eng.,-0.6087,0.8019,1.4106,,,,,,,,,,,,,,,
Fort Valley St.,-0.6112,0.9382,1.5494,,,,,,,,,,,,,,,
Central St. (OH),-0.6157,0.7862,1.4019,,,,,,,,,,,,,,,
Keystone,-0.6183,0.8538,1.4721,,,,,,,,,,,,,,,
Lakeland,-0.6189,0.9683,1.5872,,,,,,,,,,,,,,,
P.R.-Mayaguez,-0.621,0.787,1.408,,,,,,,,,,,,,,,
Penn St.-Berks,-0.6317,0.7984,1.4301,,,,,,,,,,,,,,,
Hunter,-0.6511,0.6211,1.2722,,,,,,,,,,,,,,,
Covenant,-0.6561,0.7756,1.4317,,,,,,,,,,,,,,,
Oglethorpe,-0.6608,0.729,1.3898,,,,,,,,,,,,,,,
Occidental,-0.6815,0.6775,1.359,,,,,,,,,,,,,,,
Gallaudet,-0.6872,0.6821,1.3693,,,,,,,,,,,,,,,
Centenary (NJ),-0.689,0.9246,1.6136,,,,,,,,,,,,,,,
Methodist,-0.7043,0.7096,1.4139,,,,,,,,,,,,,,,
Hartwick,-0.7098,0.9515,1.6613,,,,,,,,,,,,,,,
Washington Col.,-0.7129,0.6772,1.3901,,,,,,,,,,,,,,,
Centenary (LA),-0.7138,0.6834,1.3972,,,,,,,,,,,,,,,
Davenport,-0.7178,0.5891,1.3069,,,,,,,,,,,,,,,
Misericordia,-0.7207,0.8022,1.5229,,,,,,,,,,,,,,,
St. Joseph's (L.I.),-0.7303,0.6561,1.3864,,,,,,,,,,,,,,,
Penn St.-Abington,-0.7309,0.8102,1.5411,,,,,,,,,,,,,,,
Mt. St. Mary (NY),-0.7468,0.7699,1.5167,,,,,,,,,,,,,,,
Bryn Athyn,-0.7649,0.6177,1.3826,,,,,,,,,,,,,,,
Earlham,-0.7743,0.7951,1.5694,,,,,,,,,,,,,,,
St. Joseph's (Brkln),-0.7819,0.656,1.4379,,,,,,,,,,,,,,,
La Verne,-0.7932,0.6383,1.4315,,,,,,,,,,,,,,,
Fresno Pacific,-0.7959,0.8932,1.6891,,,,,,,,,,,,,,,
Worcester St.,-0.8115,0.9238,1.7353,,,,,,,,,,,,,,,
VTSU-Johnson,-0.8262,0.8549,1.6811,,,,,,,,,,,,,,,
Valley Forge,-0.8675,0.7813,1.6488,,,,,,,,,,,,,,,
VTSU Lyndon,-0.8728,0.6916,1.5644,,,,,,,,,,,,,,,
Pratt,-0.8984,0.6104,1.5088,,,,,,,,,,,,,,,
Medgar Evers,-0.9316,0.5733,1.5049,,,,,,,,,,,,,,,
Warren Wilson,-0.9846,0.6476,1.6322,,,,,,,,,,,,,,,
Caltech,-0.9943,0.7435,1.7378,,,,,,,,,,,,,,,
MUW,-1.0703,0.5826,1.6529,,,,,,,,,,,,,,,
