Home_Team,Away_Team,Home_ppp,Away_ppp,Division
Columbia,Lehigh,1.23,1.21,1.0
NJIT,Loyola Maryland,0.77,1.17,1.0
Lafayette,Penn,1.08,1.05,1.0
South Carolina,Towson,1.23,0.88,1.0
George Washington,N.C. A&T,1.18,1.11,1.0
Georgia,North Florida,1.7,1.28,1.0
Miami (OH),UMES,1.49,1.19,1.0
Radford,Old Dominion,1.28,1.1,1.0
Temple,Drexel,1.05,0.92,1.0
High Point,N.C. Central,1.35,1.02,1.0
UCF,Fla. Atlantic,1.37,1.29,1.0
Clemson,Eastern Ky.,1.17,0.97,1.0
Fordham,Binghamton,1.27,0.91,1.0
Navy,Rider,1.16,1.32,1.0
Florida St.,Tarleton St.,0.94,0.59,1.0
Iona,Delaware,0.82,0.9,1.0
Indiana St.,SIUE,1.12,1.2,1.0
Siena,American,1.45,1.29,1.0
James Madison,Mary Baldwin,1.42,0.66,1.0
New Hampshire,Fairfield,0.9,1.0,1.0
South Fla.,Ark.-Pine Bluff,1.27,1.03,1.0
Manhattan,Mercy,1.41,1.11,1.0
NIU,Monmouth,1.03,0.86,1.0
Tennessee Tech,West Ga.,1.01,0.97,1.0
Northwestern,UIC,1.24,1.1,1.0
Rhode Island,Franklin Pierce,1.42,1.03,1.0
Delaware St.,Gwynedd Mercy,1.13,0.85,1.0
Penn St.,Saint Francis,1.37,0.91,1.0
William & Mary,Norfolk St.,1.9,1.45,1.0
Syracuse,Colgate,1.01,0.99,1.0
Samford,Rhodes,1.58,0.68,1.0
SFA,LeTourneau,1.22,0.93,1.0
Mississippi St.,Southeastern La.,1.45,1.12,1.0
Georgia Tech,Texas Southern,1.2,0.78,1.0
Baylor,Sam Houston,1.39,0.8,1.0
Lipscomb,Belmont,1.22,1.23,1.0
Bradley,UTSA,1.26,0.95,1.0
Illinois St.,Ohio,1.6,1.29,1.0
Ole Miss,South Alabama,1.08,0.92,1.0
Arkansas St.,Little Rock,1.3,1.02,1.0
Valparaiso,Cleveland St.,1.08,1.21,1.0
Rice,ULM,1.02,0.75,1.0
TCU,Texas St.,1.17,1.09,1.0
Abilene Christian,McMurry,1.59,0.67,1.0
Texas,Chicago St.,2.27,0.89,1.0
Northern Colo.,Colo. Christian,2.35,1.22,1.0
UIW,Prairie View,1.42,1.37,1.0
Xavier,Jackson St.,1.27,0.75,1.0
UC Davis,Menlo,1.18,1.03,1.0
Colorado St.,Denver,1.16,1.02,1.0
Utah,Queens (NC),1.23,0.87,1.0
New Mexico,A&M-Corpus Christi,1.19,0.94,1.0
UTEP,Tex. Permian Basin,1.18,0.84,1.0
Iowa,South Dakota,1.28,0.93,1.0
Kentucky,Duke,1.12,1.04,1.0
UC San Diego,Sacramento St.,0.98,0.83,1.0
San Diego,Portland St.,0.95,1.06,1.0
San Diego St.,Occidental,1.72,0.6,1.0
California Baptist,UC Riverside,1.11,1.13,1.0
